Regione,Anno,arrivi_agriturismi,presenze_agriturismi
12,2008,72531.0,220757.0
12,2009,77626.0,218200.0
12,2010,87681.0,242608.0
12,2011,103404.0,278578.0
19,2008,8087.0,27256.0
19,2009,7452.0,25241.0
19,2010,8300.0,25518.0
19,2011,10144.0,28637.0
9,2008,78738.0,284722.0
9,2009,84247.0,307457.0
9,2010,94364.0,316099.0
9,2011,110319.0,371739.0
17,2008,219817.5,720654.875
17,2009,219817.5,720654.875
17,2010,219817.5,720654.875
17,2011,219817.5,720654.875
20,2008,130968.0,434831.0
20,2009,139776.0,469750.0
20,2010,160906.0,532419.0
20,2011,183731.0,587898.0
6,2008,39466.0,117926.0
6,2009,44832.0,127497.0
6,2010,49156.0,154621.0
6,2011,57724.0,175888.0
8,2008,31163.0,134017.0
8,2009,42374.0,182439.0
8,2010,43207.0,192891.0
8,2011,49825.0,218165.0
5,2008,71503.0,232704.0
5,2009,72123.0,248426.0
5,2010,81803.0,253482.0
5,2011,95161.0,285850.0
16,2008,219817.5,720654.875
16,2009,219817.5,720654.875
16,2010,219817.5,720654.875
16,2011,219817.5,720654.875
18,2008,219817.5,720654.875
18,2009,219817.5,720654.875
18,2010,219817.5,720654.875
18,2011,219817.5,720654.875
10,2008,65070.0,276196.0
10,2009,89793.0,365051.0
10,2010,121698.0,493027.0
10,2011,144849.0,556402.0
7,2008,24579.0,106840.0
7,2009,21876.0,93022.0
7,2010,29047.0,123418.0
7,2011,28417.0,129977.0
1,2008,23898.0,115078.0
1,2009,20206.0,99798.0
1,2010,20665.0,96574.0
1,2011,23295.0,103188.0
11,2008,3491.0,8842.0
11,2009,4144.0,11646.0
11,2010,4570.0,11255.0
11,2011,6932.0,18135.0
4,2008,44794.0,209454.0
4,2009,42759.0,199377.0
4,2010,39588.0,184439.0
4,2011,39539.0,189157.0
13,2008,53012.0,209859.0
13,2009,57024.0,207059.0
13,2010,67276.0,247034.0
13,2011,71144.0,244963.0
2,2008,22207.0,66997.0
2,2009,20469.0,67404.0
2,2010,21506.0,70356.0
2,2011,20957.0,60527.0
3,2008,12555.0,42399.0
3,2009,13625.0,54829.0
3,2010,13035.0,55239.0
3,2011,16185.0,57782.0
15,2008,88613.0,332550.0
15,2009,85165.0,262461.0
15,2010,91005.0,284973.0
15,2011,99863.0,293410.0
14,2008,11620.0,48099.0
14,2009,13231.0,45174.0
14,2010,11318.0,41449.0
14,2011,7456.0,32483.0
