Regione,Anno,arrivi_alberghi,presenze_alberghi
12,2008,2747466,7499879
12,2009,2948253,7167700
12,2010,3193461,8026222
12,2011,3290535,8272766
19,2008,640600,2313543
19,2009,644967,2240428
19,2010,657016,2221175
19,2011,687158,2285096
9,2008,9810628,22749427
9,2009,10327646,23380379
9,2010,11185997,24771419
9,2011,12007473,26384596
17,2008,6949384,33654681
17,2009,7095442,33956606
17,2010,7273594,34372838
17,2011,7454559,34487900
20,2008,9782997,28593859
20,2009,9476154,27748548
20,2010,10087719,28292030
20,2011,10964737,29989927
6,2008,1316663,3692535
6,2009,1318153,3699625
6,2010,1340778,3740626
6,2011,1401381,3909903
8,2008,2946839,10006181
8,2009,2906018,9581104
8,2010,2946105,9468836
8,2011,3046795,9616896
5,2008,7659323,30568521
5,2009,7558161,30175226
5,2010,7708061,29807436
5,2011,8033750,30603273
16,2008,7806676,21771763
16,2009,7586118,21215900
16,2010,8138074,22182661
16,2011,8509277,23295433
18,2008,1522032,3214309
18,2009,1385057,2968175
18,2010,1445238,3012560
18,2011,1546618,3198689
10,2008,1509980,6583932
10,2009,1471781,5676822
10,2010,1544288,5393023
10,2011,1571360,5455452
7,2008,9563012,26628665
7,2009,9172374,25582535
7,2010,9184443,25663343
7,2011,9205659,25767817
1,2008,1355162,5122867
1,2009,1114383,4648677
1,2010,1218822,4947108
1,2011,1290697,4969132
11,2008,167106,396557
11,2009,160370,397254
11,2010,157106,383157
11,2011,173468,416106
4,2008,3912331,13378562
4,2009,3782588,12775084
4,2010,4008532,13683540
4,2011,4347605,14843685
13,2008,2261875,7242319
13,2009,2275722,7431035
13,2010,2348192,7662513
13,2011,2428566,8165337
2,2008,388500,1292030
2,2009,390487,1336444
2,2010,409854,1333817
2,2011,409843,1340650
3,2008,1351338,6854596
3,2009,1353431,6851608
3,2010,1261300,6580842
3,2011,1306156,6879827
15,2008,3667805,11731914
15,2009,3541810,11541885
15,2010,3467843,11243531
15,2011,3624253,11730215
14,2008,1805023,8382167
14,2009,1821863,8243072
14,2010,1797723,8311799
14,2011,1755879,8298152
