Regione,Anno,arrivi_campeggi_e_villaggi,presenze_campeggi_e_villaggi
12,2008,347706.0,2163489.0
12,2009,458225.0,2498432.0
12,2010,439864.0,2326871.0
12,2011,440316.0,2416541.0
19,2008,63321.0,342426.0
19,2009,110842.0,428923.0
19,2010,104394.0,417943.0
19,2011,102279.0,366228.0
9,2008,518386.0,3199708.0
9,2009,584152.0,3551883.0
9,2010,559221.0,3617652.0
9,2011,592636.0,3683605.0
17,2008,485681.0,2841635.0
17,2009,525268.0,3028746.0
17,2010,512021.0,2936899.0
17,2011,541949.0,3084769.0
20,2008,1009293.625,7072964.25
20,2009,1009293.625,7072964.25
20,2010,1009293.625,7072964.25
20,2011,1009293.625,7072964.25
6,2008,201215.0,1914507.0
6,2009,218292.0,1918128.0
6,2010,217962.0,1846574.0
6,2011,239436.0,1945453.0
8,2008,354800.0,2248587.0
8,2009,380850.0,2445450.0
8,2010,352259.0,2282928.0
8,2011,377371.0,2323926.0
5,2008,615027.0,5080074.0
5,2009,629480.0,5232040.0
5,2010,593031.0,5029244.0
5,2011,632459.0,5139068.0
16,2008,1009293.625,7072964.25
16,2009,1009293.625,7072964.25
16,2010,1009293.625,7072964.25
16,2011,1009293.625,7072964.25
18,2008,100050.0,619060.0
18,2009,88642.0,583380.0
18,2010,87918.0,514289.0
18,2011,92713.0,574587.0
10,2008,276683.0,2525460.0
10,2009,292124.0,3105652.0
10,2010,302637.0,3231076.0
10,2011,341387.0,3348938.0
7,2008,471476.0,2681297.0
7,2009,471246.0,2612416.0
7,2010,487984.0,2682222.0
7,2011,475313.0,2558244.0
1,2008,170069.0,1901319.0
1,2009,138879.0,1544985.0
1,2010,162639.0,1779162.0
1,2011,173090.0,1841586.0
11,2008,9784.0,153933.0
11,2009,6789.0,85776.0
11,2010,5946.0,49113.0
11,2011,10580.0,142783.0
4,2008,409509.0,4657682.0
4,2009,399081.0,4597540.0
4,2010,386650.0,4256427.0
4,2011,341736.0,4014480.0
13,2008,386291.0,3344896.0
13,2009,402514.0,3400686.0
13,2010,430833.0,3631197.0
13,2011,448738.0,3591297.0
2,2008,29857.0,432629.0
2,2009,30620.0,414776.0
2,2010,32395.0,410630.0
2,2011,43915.0,473918.0
3,2008,125713.0,1393722.0
3,2009,118693.0,1318724.0
3,2010,121462.0,1311764.0
3,2011,133625.0,1353065.0
15,2008,194393.0,939070.0
15,2009,210667.0,948380.0
15,2010,169985.0,853123.0
15,2011,167734.0,801634.0
14,2008,409665.0,2740811.0
14,2009,447165.0,2878742.0
14,2010,424910.0,2749010.0
14,2011,362365.0,2354255.0
